,Sine True,Sine Predicted,Cosine True,Cosine Predicted,Norm True,Norm Predicted
363,0.773,-0.017,0.635,0.008,0.776,0.509
364,0.773,-0.002,0.635,-0.005,0.776,0.486
365,0.772,0.007,0.636,-0.009,0.78,0.5
366,0.77,-0.0,0.638,-0.006,0.785,0.495
367,0.769,-0.008,0.639,-0.012,0.787,0.53
368,0.769,-0.006,0.639,-0.008,0.789,0.472
369,0.769,-0.005,0.64,-0.01,0.79,0.458
370,0.768,0.007,0.64,-0.018,0.791,0.486
371,0.768,-0.001,0.641,-0.013,0.797,0.505
372,0.768,0.001,0.641,-0.003,0.801,0.505
373,0.768,-0.011,0.641,-0.008,0.802,0.504
374,0.768,0.012,0.641,-0.016,0.803,0.477
375,0.768,-0.009,0.641,0.004,0.805,0.455
376,0.768,-0.008,0.641,0.0,0.805,0.524
377,0.768,-0.004,0.641,-0.008,0.809,0.522
378,0.768,-0.009,0.641,0.004,0.813,0.469
379,0.768,0.022,0.641,-0.034,0.814,0.528
380,0.768,0.027,0.64,-0.029,0.822,0.494
381,0.768,0.026,0.64,-0.026,0.827,0.518
382,0.769,0.02,0.64,-0.015,0.831,0.493
383,0.768,0.013,0.64,-0.014,0.834,0.45
384,0.768,0.016,0.641,-0.017,0.837,0.491
385,0.767,0.014,0.641,-0.021,0.841,0.496
386,0.768,0.024,0.641,-0.041,0.845,0.482
387,0.768,0.014,0.64,-0.017,0.849,0.481
388,0.768,0.013,0.64,-0.024,0.851,0.507
389,0.768,0.026,0.641,-0.019,0.855,0.46
390,0.768,-0.002,0.641,-0.007,0.857,0.475
391,0.768,0.002,0.64,-0.009,0.858,0.498
392,0.768,-0.001,0.64,-0.003,0.859,0.511
393,0.768,0.003,0.64,-0.008,0.862,0.501
394,0.768,0.01,0.64,-0.008,0.865,0.507
395,0.768,0.018,0.64,-0.016,0.869,0.488
396,0.769,0.018,0.639,-0.017,0.872,0.54
397,0.769,0.013,0.639,-0.018,0.874,0.537
398,0.77,0.018,0.639,-0.019,0.88,0.48
399,0.769,0.007,0.639,-0.006,0.884,0.473
